hpoID,class,type,content,system,round,answer
HP:0009179,exact,direct,Laterally displaced fifth finger,medgemma-4b-it,-1,Expert
HP:0009179,exact,layperson,Displaced pinky finger,medgemma-4b-it,-1,Expert
HP:0009179,exact,layperson,Displaced pinkie finger,medgemma-4b-it,-1,Expert
HP:0009179,exact,layperson,Displaced little finger,medgemma-4b-it,-1,Expert
HP:0000741,exact,direct,"Lack of feeling, emotion, interest, motivation, initiation",medgemma-4b-it,-1,Expert
HP:0000741,exact,direct,State of indifference,medgemma-4b-it,-1,Expert
HP:0000741,exact,layperson,"Lack of feeling, emotion, interest",medgemma-4b-it,-1,Expert
HP:0031354,exact,direct,Early insomnia,medgemma-4b-it,-1,Expert
HP:0031354,exact,direct,Increased sleep latency,medgemma-4b-it,-1,Expert
HP:0031354,exact,direct,Trouble falling asleep,medgemma-4b-it,-1,Lay-person
HP:0031354,exact,layperson,Difficulty falling asleep,medgemma-4b-it,-1,Lay-person
HP:0001697,exact,direct,Abnormality of the pericardium,medgemma-4b-it,-1,Expert
HP:0004227,exact,direct,Brachytelophalangism V,medgemma-4b-it,-1,Expert
HP:0004227,exact,direct,Fifth digit distal phalangeal hypoplasia,medgemma-4b-it,-1,Expert
HP:0004227,exact,direct,Hypoplastic/small terminal phalanx of the little finger,medgemma-4b-it,-1,Expert
HP:0004227,exact,direct,Short distal phalanx of the fifth finger,medgemma-4b-it,-1,Expert
HP:0004227,exact,layperson,Short outermost pinky finger bone,medgemma-4b-it,-1,Expert
HP:0004227,exact,layperson,Short outermost pinkie finger bone,medgemma-4b-it,-1,Expert
HP:0004227,exact,layperson,Short outermost little finger bone,medgemma-4b-it,-1,Expert
HP:0005479,exact,direct,Decreased IgE,medgemma-4b-it,-1,Expert
HP:0005479,exact,direct,Decreased circulating IgE,medgemma-4b-it,-1,Expert
HP:0005479,exact,direct,IgE deficiency,medgemma-4b-it,-1,Expert
HP:0008368,exact,direct,Synostosis involving tarsal bones,medgemma-4b-it,-1,Expert
HP:0008368,exact,direct,Synostosis of tarsal bones,medgemma-4b-it,-1,Expert
HP:0008368,exact,direct,Tarsal bone fusion,medgemma-4b-it,-1,Expert
HP:0008368,exact,direct,Tarsal bone synostosis,medgemma-4b-it,-1,Expert
HP:0008368,exact,direct,Tarsal fusion,medgemma-4b-it,-1,Expert
HP:0008368,exact,direct,Tarsal fusions,medgemma-4b-it,-1,Expert
HP:0008368,exact,layperson,Fused ankle bones,medgemma-4b-it,-1,Expert
